--------------------------------------------
       CYBER INFILTRATOR - HISTORIAL
--------------------------------------------
Fecha y hora : 25/05/2026 11:20:41
Resultado    : VICTORIA
Turnos       : 148
Mov restantes: 37
Puertos      : 3 / 3
--------------------------------------------
           SECUENCIA DE MOVIMIENTOS
--------------------------------------------
  122. Turno 112 | ABAJO  →  pos(9,9)  | MOV restantes: 157  | Puertos: 3/3
  123. Turno 113 | ABAJO  →  pos(10,9)  | MOV restantes: 156  | Puertos: 3/3
  124. Turno 114 | ABAJO  →  pos(11,9)  | MOV restantes: 155  | Puertos: 3/3
  125. Turno 115 | ABAJO  →  pos(12,9)  | MOV restantes: 154  | Puertos: 3/3
  126. Turno 116 | IZQUIERDA  →  pos(12,8)  | MOV restantes: 153  | Puertos: 3/3
  127. Turno 117 | ABAJO  →  pos(13,8)  | MOV restantes: 152  | Puertos: 3/3
  128. Turno 118 | DERECHA  →  pos(13,9)  | MOV restantes: 151  | Puertos: 3/3
  129. Turno 119 | DERECHA  →  pos(13,10)  | MOV restantes: 150  | Puertos: 3/3
  130. Turno 120 | ARRIBA  →  pos(12,10)  | MOV restantes: 149  | Puertos: 3/3
  131. Turno 121 | DERECHA  →  pos(12,11)  | MOV restantes: 148  | Puertos: 3/3
  132.           └─ SCANNER detectado  -MOV: -7
  133. Turno 122 | ABAJO  →  pos(13,11)  | MOV restantes: 140  | Puertos: 3/3
  134.           └─ SCANNER detectado  -MOV: -7
  135. Turno 123 | ABAJO  →  pos(14,11)  | MOV restantes: 132  | Puertos: 3/3
  136. Turno 124 | ABAJO  →  pos(15,11)  | MOV restantes: 131  | Puertos: 3/3
  137. Turno 125 | IZQUIERDA  →  pos(15,10)  | MOV restantes: 130  | Puertos: 3/3
  138. Turno 126 | ABAJO  →  pos(16,10)  | MOV restantes: 129  | Puertos: 3/3
  139. Turno 127 | DERECHA  →  pos(16,11)  | MOV restantes: 128  | Puertos: 3/3
  140. Turno 128 | DERECHA  →  pos(16,12)  | MOV restantes: 127  | Puertos: 3/3
  141. Turno 129 | DERECHA  →  pos(16,13)  | MOV restantes: 126  | Puertos: 3/3
  142. Turno 130 | DERECHA  →  pos(16,14)  | MOV restantes: 125  | Puertos: 3/3
  143. Turno 131 | ARRIBA  →  pos(15,14)  | MOV restantes: 124  | Puertos: 3/3
  144. Turno 132 | DERECHA  →  pos(15,15)  | MOV restantes: 123  | Puertos: 3/3
  145. Turno 133 | ABAJO  →  pos(16,15)  | MOV restantes: 122  | Puertos: 3/3
  146. Turno 134 | IZQUIERDA  →  pos(16,14)  | MOV restantes: 121  | Puertos: 3/3
  147. Turno 135 | ABAJO  →  pos(17,14)  | MOV restantes: 120  | Puertos: 3/3
  148. Turno 136 | DERECHA  →  pos(17,15)  | MOV restantes: 119  | Puertos: 3/3
  149. Turno 137 | DERECHA  →  pos(17,16)  | MOV restantes: 118  | Puertos: 3/3
  150. Turno 138 | DERECHA  →  pos(17,17)  | MOV restantes: 117  | Puertos: 3/3
